; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
40	1	1	comcod	118174078.125
40	2	1	comcod	118174078.125
40	3	1	comcod	118174078.125
40	4	1	comcod	118174078.125
41	1	1	comcod	116786777.34375
41	2	1	comcod	116786777.34375
41	3	1	comcod	116786777.34375
41	4	1	comcod	116786777.34375
42	1	1	comcod	120458753.90625
42	2	1	comcod	120458753.90625
42	3	1	comcod	120458753.90625
42	4	1	comcod	120458753.90625
43	1	1	comcod	119984824.21875
43	2	1	comcod	119984824.21875
43	3	1	comcod	119984824.21875
43	4	1	comcod	119984824.21875
44	1	1	comcod	119468871.09375
44	2	1	comcod	119468871.09375
44	3	1	comcod	119468871.09375
44	4	1	comcod	119468871.09375
45	1	1	comcod	120001792.96875
45	2	1	comcod	120001792.96875
45	3	1	comcod	120001792.96875
45	4	1	comcod	120001792.96875
46	1	1	comcod	121162277.34375
46	2	1	comcod	121162277.34375
46	3	1	comcod	121162277.34375
46	4	1	comcod	121162277.34375
47	1	1	comcod	121413257.8125
47	2	1	comcod	121413257.8125
47	3	1	comcod	121413257.8125
47	4	1	comcod	121413257.8125
48	1	1	comcod	119765472.65625
48	2	1	comcod	119765472.65625
48	3	1	comcod	119765472.65625
48	4	1	comcod	119765472.65625
49	1	1	comcod	121104210.9375
49	2	1	comcod	121104210.9375
49	3	1	comcod	121104210.9375
49	4	1	comcod	121104210.9375
50	1	1	comcod	122231929.6875
50	2	1	comcod	122231929.6875
50	3	1	comcod	122231929.6875
50	4	1	comcod	122231929.6875
51	1	1	comcod	120263226.5625
51	2	1	comcod	120263226.5625
51	3	1	comcod	120263226.5625
51	4	1	comcod	120263226.5625
52	1	1	comcod	119861085.9375
52	2	1	comcod	119861085.9375
52	3	1	comcod	119861085.9375
52	4	1	comcod	119861085.9375
53	1	1	comcod	119399718.75
53	2	1	comcod	119399718.75
53	3	1	comcod	119399718.75
53	4	1	comcod	119399718.75
54	1	1	comcod	118419890.625
54	2	1	comcod	118419890.625
54	3	1	comcod	118419890.625
54	4	1	comcod	118419890.625
55	1	1	comcod	277727507.8125
55	2	1	comcod	277727507.8125
55	3	1	comcod	277727507.8125
55	4	1	comcod	277727507.8125
56	1	1	comcod	193755433.59375
56	2	1	comcod	193755433.59375
56	3	1	comcod	193755433.59375
56	4	1	comcod	193755433.59375
57	1	1	comcod	169081441.40625
57	2	1	comcod	169081441.40625
57	3	1	comcod	169081441.40625
57	4	1	comcod	169081441.40625
58	1	1	comcod	158614687.5
58	2	1	comcod	158614687.5
58	3	1	comcod	158614687.5
58	4	1	comcod	158614687.5
59	1	1	comcod	155336285.15625
59	2	1	comcod	155336285.15625
59	3	1	comcod	155336285.15625
59	4	1	comcod	155336285.15625
60	1	1	comcod	152537496.09375
60	2	1	comcod	152537496.09375
60	3	1	comcod	152537496.09375
60	4	1	comcod	152537496.09375
61	1	1	comcod	151928296.875
61	2	1	comcod	151928296.875
61	3	1	comcod	151928296.875
61	4	1	comcod	151928296.875
62	1	1	comcod	158579906.25
62	2	1	comcod	158579906.25
62	3	1	comcod	158579906.25
62	4	1	comcod	158579906.25
63	1	1	comcod	161625421.875
63	2	1	comcod	161625421.875
63	3	1	comcod	161625421.875
63	4	1	comcod	161625421.875
64	1	1	comcod	158973433.59375
64	2	1	comcod	158973433.59375
64	3	1	comcod	158973433.59375
64	4	1	comcod	158973433.59375
65	1	1	comcod	159996492.1875
65	2	1	comcod	159996492.1875
65	3	1	comcod	159996492.1875
65	4	1	comcod	159996492.1875
66	1	1	comcod	155546941.40625
66	2	1	comcod	155546941.40625
66	3	1	comcod	155546941.40625
66	4	1	comcod	155546941.40625
67	1	1	comcod	156492750
67	2	1	comcod	156492750
67	3	1	comcod	156492750
67	4	1	comcod	156492750
68	1	1	comcod	153838523.4375
68	2	1	comcod	153838523.4375
68	3	1	comcod	153838523.4375
68	4	1	comcod	153838523.4375
69	1	1	comcod	160368914.0625
69	2	1	comcod	160368914.0625
69	3	1	comcod	160368914.0625
