; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	number
40	3	1	survQ3cod	1
41	3	1	survQ3cod	1
42	3	1	survQ3cod	1
43	3	1	survQ3cod	1
44	3	1	survQ3cod	1
45	3	1	survQ3cod	1
46	3	1	survQ3cod	1
47	3	1	survQ3cod	1
48	3	1	survQ3cod	1
49	3	1	survQ3cod	1
50	3	1	survQ3cod	1
51	3	1	survQ3cod	1
52	3	1	survQ3cod	1
53	3	1	survQ3cod	1
54	3	1	survQ3cod	1
55	3	1	survQ3cod	1
56	3	1	survQ3cod	1
57	3	1	survQ3cod	1
58	3	1	survQ3cod	1
59	3	1	survQ3cod	1
60	3	1	survQ3cod	1
61	3	1	survQ3cod	1
62	3	1	survQ3cod	1
63	3	1	survQ3cod	1
64	3	1	survQ3cod	1
65	3	1	survQ3cod	1
66	3	1	survQ3cod	1
67	3	1	survQ3cod	1
68	3	1	survQ3cod	1
69	3	1	survQ3cod	1
70	3	1	survQ3cod	1
71	3	1	survQ3cod	1
72	3	1	survQ3cod	1
73	3	1	survQ3cod	1
74	3	1	survQ3cod	1
75	3	1	survQ3cod	1
76	3	1	survQ3cod	1
77	3	1	survQ3cod	1
78	3	1	survQ3cod	1
79	3	1	survQ3cod	1
80	3	1	survQ3cod	1
81	3	1	survQ3cod	1
82	3	1	survQ3cod	1
83	3	1	survQ3cod	1
84	3	1	survQ3cod	1
85	3	1	survQ3cod	1
86	3	1	survQ3cod	1
87	3	1	survQ3cod	1
88	3	1	survQ3cod	1
89	3	1	survQ3cod	1
90	3	1	survQ3cod	1
91	3	1	survQ3cod	1
92	3	1	survQ3cod	1
93	3	1	survQ3cod	1
94	3	1	survQ3cod	1
95	3	1	survQ3cod	1
96	3	1	survQ3cod	1
97	3	1	survQ3cod	1
98	3	1	survQ3cod	1
99	3	1	survQ3cod	1
100	3	1	survQ3cod	1
101	3	1	survQ3cod	1
102	3	1	survQ3cod	1
103	3	1	survQ3cod	1
104	3	1	survQ3cod	1
105	3	1	survQ3cod	1
106	3	1	survQ3cod	1
107	3	1	survQ3cod	1
108	3	1	survQ3cod	1
109	3	1	survQ3cod	1
110	3	1	survQ3cod	1
111	3	1	survQ3cod	1
112	3	1	survQ3cod	1
113	3	1	survQ3cod	1
114	3	1	survQ3cod	1
115	3	1	survQ3cod	1
116	3	1	survQ3cod	1
117	3	1	survQ3cod	1
118	3	1	survQ3cod	1
119	3	1	survQ3cod	1
120	3	1	survQ3cod	1
