; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
40	1	1	comhad	0
40	2	1	comhad	0
40	3	1	comhad	0
40	4	1	comhad	0
41	1	1	comhad	0
41	2	1	comhad	0
41	3	1	comhad	0
41	4	1	comhad	0
42	1	1	comhad	0
42	2	1	comhad	0
42	3	1	comhad	0
42	4	1	comhad	0
43	1	1	comhad	0
43	2	1	comhad	0
43	3	1	comhad	0
43	4	1	comhad	0
44	1	1	comhad	0
44	2	1	comhad	0
44	3	1	comhad	0
44	4	1	comhad	0
45	1	1	comhad	0
45	2	1	comhad	0
45	3	1	comhad	0
45	4	1	comhad	0
46	1	1	comhad	0
46	2	1	comhad	0
46	3	1	comhad	0
46	4	1	comhad	0
47	1	1	comhad	0
47	2	1	comhad	0
47	3	1	comhad	0
47	4	1	comhad	0
48	1	1	comhad	0
48	2	1	comhad	0
48	3	1	comhad	0
48	4	1	comhad	0
49	1	1	comhad	0
49	2	1	comhad	0
49	3	1	comhad	0
49	4	1	comhad	0
50	1	1	comhad	0
50	2	1	comhad	0
50	3	1	comhad	0
50	4	1	comhad	0
51	1	1	comhad	0
51	2	1	comhad	0
51	3	1	comhad	0
51	4	1	comhad	0
52	1	1	comhad	0
52	2	1	comhad	0
52	3	1	comhad	0
52	4	1	comhad	0
53	1	1	comhad	0
53	2	1	comhad	0
53	3	1	comhad	0
53	4	1	comhad	0
54	1	1	comhad	0
54	2	1	comhad	0
54	3	1	comhad	0
54	4	1	comhad	0
55	1	1	comhad	120792367.1875
55	2	1	comhad	120792367.1875
55	3	1	comhad	120792367.1875
55	4	1	comhad	120792367.1875
56	1	1	comhad	104155992.1875
56	2	1	comhad	104155992.1875
56	3	1	comhad	104155992.1875
56	4	1	comhad	104155992.1875
57	1	1	comhad	76230796.875
57	2	1	comhad	76230796.875
57	3	1	comhad	76230796.875
57	4	1	comhad	76230796.875
58	1	1	comhad	54093457.03125
58	2	1	comhad	54093457.03125
58	3	1	comhad	54093457.03125
58	4	1	comhad	54093457.03125
59	1	1	comhad	38702289.0625
59	2	1	comhad	38702289.0625
59	3	1	comhad	38702289.0625
59	4	1	comhad	38702289.0625
60	1	1	comhad	28469878.90625
60	2	1	comhad	28469878.90625
60	3	1	comhad	28469878.90625
60	4	1	comhad	28469878.90625
61	1	1	comhad	22009703.125
61	2	1	comhad	22009703.125
61	3	1	comhad	22009703.125
61	4	1	comhad	22009703.125
62	1	1	comhad	17900066.40625
62	2	1	comhad	17900066.40625
62	3	1	comhad	17900066.40625
62	4	1	comhad	17900066.40625
63	1	1	comhad	16547041.015625
63	2	1	comhad	16547041.015625
63	3	1	comhad	16547041.015625
63	4	1	comhad	16547041.015625
64	1	1	comhad	14652550.78125
64	2	1	comhad	14652550.78125
64	3	1	comhad	14652550.78125
64	4	1	comhad	14652550.78125
65	1	1	comhad	11960607.421875
65	2	1	comhad	11960607.421875
65	3	1	comhad	11960607.421875
65	4	1	comhad	11960607.421875
66	1	1	comhad	9776388.671875
66	2	1	comhad	9776388.671875
66	3	1	comhad	9776388.671875
66	4	1	comhad	9776388.671875
67	1	1	comhad	8386583.0078125
67	2	1	comhad	8386583.0078125
67	3	1	comhad	8386583.0078125
67	4	1	comhad	8386583.0078125
68	1	1	comhad	7986211.9140625
68	2	1	comhad	7986211.9140625
68	3	1	comhad	7986211.9140625
68	4	1	comhad	7986211.9140625
69	1	1	comhad	15757258.7890625
69	2	1	comhad	15757258.7890625
69	3	1	comhad	15757258.7890625
69	4	1	comhad	15757258.7890625
70	1	1	comhad	59902093.75
70	2	1	comhad	59902093.75
70	3	1	comhad	59902093.75
70	4	1	comhad	59902093.75
71	1	1	comhad	105017648.4375
71	2	1	comhad	105017648.4375
71	3	1	comhad	105017648.4375
71	4	1	comhad	105017648.4375
72	1	1	comhad	100344046.875
72	2	1	comhad	100344046.875
72	3	1	comhad	100344046.875
72	4	1	comhad	100344046.875
73	1	1	comhad	77626265.625
73	2	1	comhad	77626265.625
73	3	1	comhad	77626265.625
73	4	1	comhad	77626265.625
74	1	1	comhad	57595949.21875
74	2	1	comhad	57595949.21875
74	3	1	comhad	57595949.21875
74	4	1	comhad	57595949.21875
75	1	1	comhad	41152132.8125
75	2	1	comhad	41152132.8125
75	3	1	comhad	41152132.8125
75	4	1	comhad	41152132.8125
76	1	1	comhad	31642312.5
76	2	1	comhad	31642312.5
76	3	1	comhad	31642312.5
76	4	1	comhad	31642312.5
77	1	1	comhad	25528949.21875
77	2	1	comhad	25528949.21875
77	3	1	comhad	25528949.21875
77	4	1	comhad	25528949.21875
78	1	1	comhad	21054744.140625
78	2	1	comhad	21054744.140625
78	3	1	comhad	21054744.140625
78	4	1	comhad	21054744.140625
79	1	1	comhad	17590876.953125
79	2	1	comhad	17590876.953125
79	3	1	comhad	17590876.953125
79	4	1	comhad	17590876.953125
80	1	1	comhad	6347296.38671875
80	2	1	comhad	6347296.38671875
80	3	1	comhad	6347296.38671875
80	4	1	comhad	6347296.38671875
81	1	1	comhad	6540228.515625
81	2	1	comhad	6540228.515625
81	3	1	comhad	6540228.515625
81	4	1	comhad	6540228.515625
82	1	1	comhad	10291064.453125
82	2	1	comhad	10291064.453125
82	3	1	comhad	10291064.453125
82	4	1	comhad	10291064.453125
83	1	1	comhad	29375548.828125
83	2	1	comhad	29375548.828125
83	3	1	comhad	29375548.828125
83	4	1	comhad	29375548.828125
84	1	1	comhad	45294292.96875
84	2	1	comhad	45294292.96875
84	3	1	comhad	45294292.96875
84	4	1	comhad	45294292.96875
85	1	1	comhad	44266570.3125
85	2	1	comhad	44266570.3125
85	3	1	comhad	44266570.3125
85	4	1	comhad	44266570.3125
86	1	1	comhad	40125496.09375
86	2	1	comhad	40125496.09375
86	3	1	comhad	40125496.09375
86	4	1	comhad	40125496.09375
87	1	1	comhad	36570101.5625
87	2	1	comhad	36570101.5625
87	3	1	comhad	36570101.5625
87	4	1	comhad	36570101.5625
88	1	1	comhad	34162621.09375
88	2	1	comhad	34162621.09375
88	3	1	comhad	34162621.09375
88	4	1	comhad	34162621.09375
89	1	1	comhad	42787398.4375
89	2	1	comhad	42787398.4375
89	3	1	comhad	42787398.4375
89	4	1	comhad	42787398.4375
90	1	1	comhad	47895507.8125
90	2	1	comhad	47895507.8125
90	3	1	comhad	47895507.8125
90	4	1	comhad	47895507.8125
