; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	number
40	2	1	survQ2had	1
41	2	1	survQ2had	1
42	2	1	survQ2had	1
43	2	1	survQ2had	1
44	2	1	survQ2had	1
45	2	1	survQ2had	1
46	2	1	survQ2had	1
47	2	1	survQ2had	1
48	2	1	survQ2had	1
49	2	1	survQ2had	1
50	2	1	survQ2had	1
51	2	1	survQ2had	1
52	2	1	survQ2had	1
53	2	1	survQ2had	1
54	2	1	survQ2had	1
55	2	1	survQ2had	1
56	2	1	survQ2had	1
57	2	1	survQ2had	1
58	2	1	survQ2had	1
59	2	1	survQ2had	1
60	2	1	survQ2had	1
61	2	1	survQ2had	1
62	2	1	survQ2had	1
63	2	1	survQ2had	1
64	2	1	survQ2had	1
65	2	1	survQ2had	1
66	2	1	survQ2had	1
67	2	1	survQ2had	1
68	2	1	survQ2had	1
69	2	1	survQ2had	1
70	2	1	survQ2had	1
71	2	1	survQ2had	1
72	2	1	survQ2had	1
73	2	1	survQ2had	1
74	2	1	survQ2had	1
75	2	1	survQ2had	1
76	2	1	survQ2had	1
77	2	1	survQ2had	1
78	2	1	survQ2had	1
79	2	1	survQ2had	1
80	2	1	survQ2had	1
81	2	1	survQ2had	1
82	2	1	survQ2had	1
83	2	1	survQ2had	1
84	2	1	survQ2had	1
85	2	1	survQ2had	1
86	2	1	survQ2had	1
87	2	1	survQ2had	1
88	2	1	survQ2had	1
89	2	1	survQ2had	1
90	2	1	survQ2had	1
91	2	1	survQ2had	1
92	2	1	survQ2had	1
93	2	1	survQ2had	1
94	2	1	survQ2had	1
95	2	1	survQ2had	1
96	2	1	survQ2had	1
97	2	1	survQ2had	1
98	2	1	survQ2had	1
99	2	1	survQ2had	1
100	2	1	survQ2had	1
101	2	1	survQ2had	1
102	2	1	survQ2had	1
103	2	1	survQ2had	1
104	2	1	survQ2had	1
105	2	1	survQ2had	1
106	2	1	survQ2had	1
107	2	1	survQ2had	1
108	2	1	survQ2had	1
109	2	1	survQ2had	1
110	2	1	survQ2had	1
111	2	1	survQ2had	1
112	2	1	survQ2had	1
113	2	1	survQ2had	1
114	2	1	survQ2had	1
115	2	1	survQ2had	1
116	2	1	survQ2had	1
117	2	1	survQ2had	1
118	2	1	survQ2had	1
119	2	1	survQ2had	1
120	2	1	survQ2had	1
